DB1090,INT158;S1_FISControlDB.LiveBuffer.machineState
DB1090,INT120;S1_FISControlDB.LiveBuffer.totalMachineCycles
DB1090,INT116;S1_FISControlDB.LiveBuffer.goodMachineCycles
DB1090,INT118;S1_FISControlDB.LiveBuffer.badMachineCycles
DB1090,INT142;S1_FISControlDB.LiveBuffer.noBuildMachineCycles
DB1090,INT184;S1_FISControlDB.LiveBuffer.goodParts
DB1090,INT186;S1_FISControlDB.LiveBuffer.badParts
DB1090,INT182;S1_FISControlDB.LiveBuffer.noBuildParts
DB1090,INT112;S1_FISControlDB.LiveBuffer.lastCycleTime
DB1090,INT144;S1_FISControlDB.LiveBuffer.unloadTime
DB1090,INT146;S1_FISControlDB.LiveBuffer.loadTime
DB1090,INT156;S1_FISControlDB.LiveBuffer.totalCycleTime
DB1090,INT126;S1_FISControlDB.LiveBuffer.faultCodeWord1
DB1090,INT128;S1_FISControlDB.LiveBuffer.faultCodeWord2
DB1090,INT130;S1_FISControlDB.LiveBuffer.faultCodeWord3
DB1090,INT134;S1_FISControlDB.LiveBuffer.standardWarningWord01
DB1090,INT136;S1_FISControlDB.LiveBuffer.customWarningWord02
DB1090,INT138;S1_FISControlDB.LiveBuffer.customWarningWord3
DB1063,CHAR64,32;S1.PartData.unitID
DB1140,X217.5;S1.MECM_Gty_X1_Move_Minus
DB1140,X217.4;S1.MECM_Gty_X1_Move_Plus
DB1150,X217.5;S1.MECM_Gty_Y1_Move_Minus
DB1150,X217.4;S1.MECM_Gty_Y1_Move_Plus
DB1160,X217.5;S1.MECM_Gty_X2_Move_Minus
DB1160,X217.4;S1.MECM_Gty_X2_Move_Plus
DB1170,X217.5;S1.MECM_Gty_Y2_Move_Minus
DB1170,X217.4;S1.MECM_Gty_Y2_Move_Plus
DB1410,X30.0;S1.MECM_PartClampSlide_Rise_CMD
DB1410,X30.1;S1.MECM_PartClampSlide_Rise_FDBK
DB1410,X26.0;S1.MECM_PartClampSlide_Lower_CMD
DB1410,X26.1;S1.MECM_PartClampSlide_Lower_FDBK
DB1420,X30.0;S1.MECM_Z1AxisNrSlide_Lower_CMD
DB1420,X30.1;S1.MECM_Z1AxisNrSlide_Lower_FDBK
DB1420,X26.0;S1.MECM_Z1AxisNrSlide_Rise_CMD
DB1420,X26.1;S1.MECM_Z1AxisNrSlide_Rise_FDBK
DB1430,X30.0;S1.MECM_Z2AxisNrSlide_Lower_CMD
DB1430,X30.1;S1.MECM_Z2AxisNrSlide_Lower_FDBK
DB1430,X26.0;S1.MECM_Z2AxisNrSlide_Rise_CMD
DB1430,X26.1;S1.MECM_Z2AxisNrSlide_Rise_FDBK
DB1440,X30.0;S1.MECM_APTransferSlide_Return_CMD
DB1440,X30.1;S1.MECM_APTransferSlide_Return_FDBK
DB1440,X26.0;S1.MECM_APTransferSlide_Advance_CMD
DB1440,X26.1;S1.MECM_APTransferSlide_Advance_FDBK
DB1450,X30.0;S1.MECM_APClamp1_Return_CMD
DB1450,X30.1;S1.MECM_APClamp1_Return_FDBK
DB1450,X26.0;S1.MECM_APClamp1_Advance_CMD
DB1450,X26.1;S1.MECM_APClamp1_Advance_FDBK
DB1460,X30.0;S1.MECM_APClamp3_Return_CMD
DB1460,X30.1;S1.MECM_APClamp3_Return_FDBK
DB1460,X26.0;S1.MECM_APClamp3_Advance_CMD
DB1460,X26.1;S1.MECM_APClamp3_Advance_FDBK
DB1470,X30.0;S1.MECM_EntrPartStpr_Lower_CMD
DB1470,X30.1;S1.MECM_EntrPartStpr_Lower_FDBK
DB1470,X26.0;S1.MECM_EntrPartStpr_Rise_CMD
DB1470,X26.1;S1.MECM_EntrPartStpr_Rise_FDBK
DB1480,X30.0;S1.MECM_LocatingSlide_Return_CMD
DB1480,X30.1;S1.MECM_LocatingSlide_Return_FDBK
DB1480,X26.0;S1.MECM_LocatingSlide_Advance_CMD
DB1480,X26.1;S1.MECM_LocatingSlide_Advance_FDBK
DB1490,X30.0;S1.MECM_RFIDSlide_Return_CMD
DB1490,X30.1;S1.MECM_RFIDSlide_Return_FDBK
DB1490,X26.0;S1.MECM_RFIDSlide_Advance_CMD
DB1490,X26.1;S1.MECM_RFIDSlide_Advance_FDBK
DB1060,X0.0;S1.MECM_RFID1_Read_Start
DB1060,X64.0;S1.MECM_RFID1_Read_Done
DB1062,X0.0;S1.MECM_RFID1_Write_Start
DB1062,X64.0;S1.MECM_RFID1_Write_Done
DB501,X101.7;S1.MECM_Nutrunner_Thight_Start
DB501,X101.7;S1.MECM_Nutrunner_Thight_Over
DB541,X146.2;S1.MECM_Nutrunner_X1_Bolt1
DB541,X646.2;S1.MECM_Nutrunner_Y1_Bolt1
DB541,X146.4;S1.MECM_Nutrunner_X1_Bolt2
DB541,X646.4;S1.MECM_Nutrunner_Y1_Bolt2
DB541,X396.3;S1.MECM_Nutrunner_X2_Bolt1
DB541,X896.3;S1.MECM_Nutrunner_Y2_Bolt1
DB541,X396.5;S1.MECM_Nutrunner_X2_Bolt2
DB541,X896.5;S1.MECM_Nutrunner_Y2_Bolt2
